-10,-10,"6k1/8/2K3N1/6N1/8/8/r7/8 b - - 0 1","       +---+---+---+---+---+---+---+---+
8 ( 0) |   |   |   |   |   |   | k |   |
       +---+---+---+---+---+---+---+---+
7 ( 8) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
6 (16) |   |   | K |   |   |   | N |   |
       +---+---+---+---+---+---+---+---+
5 (24) |   |   |   |   |   |   | N |   |
       +---+---+---+---+---+---+---+---+
4 (32) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
3 (40) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
2 (48) | r |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
1 (56) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
         a   b   c   d   e   f   g   h  
6k1/8/2K3N1/6N1/8/8/r7/8 b - -
",""
6,6,"rN6/8/8/3k4/5KN1/8/8/8 w - - 0 1","       +---+---+---+---+---+---+---+---+
8 ( 0) | r | N |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
7 ( 8) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
6 (16) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
5 (24) |   |   |   | k |   |   |   |   |
       +---+---+---+---+---+---+---+---+
4 (32) |   |   |   |   |   | K | N |   |
       +---+---+---+---+---+---+---+---+
3 (40) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
2 (48) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
1 (56) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
         a   b   c   d   e   f   g   h  
rN6/8/8/3k4/5KN1/8/8/8 w - -
",""
7,7,"2N5/8/8/r1k5/5N2/8/5K2/8 w - - 0 1","       +---+---+---+---+---+---+---+---+
8 ( 0) |   |   | N |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
7 ( 8) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
6 (16) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
5 (24) | r |   | k |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
4 (32) |   |   |   |   |   | N |   |   |
       +---+---+---+---+---+---+---+---+
3 (40) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
2 (48) |   |   |   |   |   | K |   |   |
       +---+---+---+---+---+---+---+---+
1 (56) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
         a   b   c   d   e   f   g   h  
2N5/8/8/r1k5/5N2/8/5K2/8 w - -
",""
6,6,"1N6/8/1K6/5N2/6k1/5r2/8/8 w - - 0 1","       +---+---+---+---+---+---+---+---+
8 ( 0) |   | N |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
7 ( 8) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
6 (16) |   | K |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
5 (24) |   |   |   |   |   | N |   |   |
       +---+---+---+---+---+---+---+---+
4 (32) |   |   |   |   |   |   | k |   |
       +---+---+---+---+---+---+---+---+
3 (40) |   |   |   |   |   | r |   |   |
       +---+---+---+---+---+---+---+---+
2 (48) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
1 (56) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
         a   b   c   d   e   f   g   h  
1N6/8/1K6/5N2/6k1/5r2/8/8 w - -
",""
7,7,"8/6N1/6K1/3N4/8/8/3k4/r7 w - - 0 1","       +---+---+---+---+---+---+---+---+
8 ( 0) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
7 ( 8) |   |   |   |   |   |   | N |   |
       +---+---+---+---+---+---+---+---+
6 (16) |   |   |   |   |   |   | K |   |
       +---+---+---+---+---+---+---+---+
5 (24) |   |   |   | N |   |   |   |   |
       +---+---+---+---+---+---+---+---+
4 (32) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
3 (40) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
2 (48) |   |   |   | k |   |   |   |   |
       +---+---+---+---+---+---+---+---+
1 (56) | r |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
         a   b   c   d   e   f   g   h  
8/6N1/6K1/3N4/8/8/3k4/r7 w - -
",""
5,5,"8/1K6/1N6/8/8/5r2/6k1/5N2 w - - 0 1","       +---+---+---+---+---+---+---+---+
8 ( 0) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
7 ( 8) |   | K |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
6 (16) |   | N |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
5 (24) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
4 (32) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
3 (40) |   |   |   |   |   | r |   |   |
       +---+---+---+---+---+---+---+---+
2 (48) |   |   |   |   |   |   | k |   |
       +---+---+---+---+---+---+---+---+
1 (56) |   |   |   |   |   | N |   |   |
       +---+---+---+---+---+---+---+---+
         a   b   c   d   e   f   g   h  
8/1K6/1N6/8/8/5r2/6k1/5N2 w - -
",""
2,2,"K7/N7/8/3k3r/8/8/3N4/8 w - - 0 1","       +---+---+---+---+---+---+---+---+
8 ( 0) | K |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
7 ( 8) | N |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
6 (16) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
5 (24) |   |   |   | k |   |   |   | r |
       +---+---+---+---+---+---+---+---+
4 (32) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
3 (40) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
2 (48) |   |   |   | N |   |   |   |   |
       +---+---+---+---+---+---+---+---+
1 (56) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
         a   b   c   d   e   f   g   h  
K7/N7/8/3k3r/8/8/3N4/8 w - -
",""
7,7,"6r1/8/8/2k5/3N3N/8/4K3/8 w - - 0 1","       +---+---+---+---+---+---+---+---+
8 ( 0) |   |   |   |   |   |   | r |   |
       +---+---+---+---+---+---+---+---+
7 ( 8) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
6 (16) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
5 (24) |   |   | k |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
4 (32) |   |   |   | N |   |   |   | N |
       +---+---+---+---+---+---+---+---+
3 (40) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
2 (48) |   |   |   |   | K |   |   |   |
       +---+---+---+---+---+---+---+---+
1 (56) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
         a   b   c   d   e   f   g   h  
6r1/8/8/2k5/3N3N/8/4K3/8 w - -
",""
5,5,"8/8/3K4/5k2/1N5r/8/8/3N4 w - - 0 1","       +---+---+---+---+---+---+---+---+
8 ( 0) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
7 ( 8) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
6 (16) |   |   |   | K |   |   |   |   |
       +---+---+---+---+---+---+---+---+
5 (24) |   |   |   |   |   | k |   |   |
       +---+---+---+---+---+---+---+---+
4 (32) |   | N |   |   |   |   |   | r |
       +---+---+---+---+---+---+---+---+
3 (40) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
2 (48) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
1 (56) |   |   |   | N |   |   |   |   |
       +---+---+---+---+---+---+---+---+
         a   b   c   d   e   f   g   h  
8/8/3K4/5k2/1N5r/8/8/3N4 w - -
",""
-8,-8,"2K2k2/r7/8/4N3/8/8/3N4/8 b - - 0 1","       +---+---+---+---+---+---+---+---+
8 ( 0) |   |   | K |   |   | k |   |   |
       +---+---+---+---+---+---+---+---+
7 ( 8) | r |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
6 (16) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
5 (24) |   |   |   |   | N |   |   |   |
       +---+---+---+---+---+---+---+---+
4 (32) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
3 (40) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
2 (48) |   |   |   | N |   |   |   |   |
       +---+---+---+---+---+---+---+---+
1 (56) |   |   |   |   |   |   |   |   |
       +---+---+---+---+---+---+---+---+
         a   b   c   d   e   f   g   h  
2K2k2/r7/8/4N3/8/8/3N4/8 b - -
",""
